factor_name,Group1,Group2,Group3,Group4,Group5,ic_mean,ic_sign,icir,long-average,long-short,signic>0,signic>0.04,t
"DownResample(Min($close/Ref($close,9) - 1, 240), 240, ""last"")",0.004852325,0.001274739,0.000868008,2.82E-05,-0.005690695,0.076436752,1,3.982688747,0.004611847,0.01054302,0.73556701,0.631958763,24.70938656
"DownResample(Min($close/Ref($close,10) - 1, 240), 240, ""last"")",0.004868241,0.001219149,0.000873396,3.85E-05,-0.005666161,0.076260374,1,3.957909462,0.004627763,0.010534402,0.737113402,0.630412371,24.55565099
"DownResample(Min($close/Ref($close,11) - 1, 240), 240, ""last"")",0.004909538,0.001137211,0.000942703,-3.00E-05,-0.005629223,0.076183059,1,3.934694437,0.00466906,0.010538761,0.737113402,0.628865979,24.4116204
"DownResample(Min($close/Ref($close,12) - 1, 240), 240, ""last"")",0.00490093,0.001145145,0.000944879,-2.37E-05,-0.005637657,0.076000692,1,3.906741097,0.004660452,0.010538587,0.73556701,0.629896907,24.23819237
"DownResample(Min($close/Ref($close,13) - 1, 240), 240, ""last"")",0.004882486,0.001146586,0.00093504,-2.05E-05,-0.00561752,0.075722787,1,3.877560408,0.004642008,0.010500006,0.732989691,0.625773196,24.05714961
"DownResample(Min($close/Ref($close,14) - 1, 240), 240, ""last"")",0.004867827,0.001165071,0.00092543,-2.63E-05,-0.005608548,0.075517509,1,3.856059546,0.004627349,0.010476375,0.733505155,0.624226804,23.92375403
"DownResample(Min($close/Ref($close,15) - 1, 240), 240, ""last"")",0.00489334,0.001156198,0.000893662,-4.54E-05,-0.005575007,0.075326249,1,3.838736707,0.004652862,0.010468347,0.731443299,0.626804124,23.81627972
"DownResample(Min($close/Ref($close,16) - 1, 240), 240, ""last"")",0.004875834,0.001152949,0.000878757,-2.27E-05,-0.005563214,0.07503004,1,3.814054442,0.004635356,0.010439048,0.730412371,0.625257732,23.66314607
"DownResample(Min($close/Ref($close,17) - 1, 240), 240, ""last"")",0.004876283,0.001144314,0.000873873,-9.63E-06,-0.00556515,0.074823889,1,3.793519103,0.004635805,0.010441433,0.729896907,0.622680412,23.53574078
"DownResample(Min($close/Ref($close,18) - 1, 240), 240, ""last"")",0.004884904,0.001151418,0.000885378,-5.78E-05,-0.00554378,0.074761448,1,3.787028985,0.004644426,0.010428685,0.728865979,0.624226804,23.49547481
"DownResample(Min($close/Ref($close,19) - 1, 240), 240, ""last"")",0.004882498,0.001132438,0.000841761,-1.23E-05,-0.005523791,0.074456613,1,3.763132224,0.00464202,0.010406288,0.726804124,0.624226804,23.34721459
"DownResample(Min($close/Ref($close,20) - 1, 240), 240, ""last"")",0.004892716,0.001134874,0.000825365,-1.90E-05,-0.005514837,0.074369595,1,3.752460517,0.004652238,0.010407553,0.728865979,0.622680412,23.28100521
"DownResample(Min($close/Ref($close,21) - 1, 240), 240, ""last"")",0.004888087,0.001105411,0.00084077,-1.46E-05,-0.005501361,0.074187544,1,3.736919638,0.00464761,0.010389448,0.727319588,0.623195876,23.18458654
"DownResample(Min($close/Ref($close,22) - 1, 240), 240, ""last"")",0.00489758,0.001106639,0.000823794,-3.37E-05,-0.005477448,0.073957004,1,3.717981547,0.004657102,0.010375028,0.72371134,0.618041237,23.06709088
"DownResample(Min($close/Ref($close,23) - 1, 240), 240, ""last"")",0.004875065,0.001078594,0.000845007,-4.32E-05,-0.00544231,0.07367491,1,3.697924034,0.004634587,0.010317375,0.722680412,0.617525773,22.94265011
"DownResample(Min($close/Ref($close,24) - 1, 240), 240, ""last"")",0.004891497,0.001046247,0.000845465,-6.62E-05,-0.005401399,0.073486485,1,3.685110949,0.004651019,0.010292896,0.723195876,0.618041237,22.86315521
"DownResample(Min($close/Ref($close,25) - 1, 240), 240, ""last"")",0.004872199,0.001068335,0.000827102,-3.57E-05,-0.005415372,0.073283843,1,3.671051989,0.004631721,0.010287572,0.72371134,0.615979381,22.77593065
"DownResample(Min($close/Ref($close,26) - 1, 240), 240, ""last"")",0.004880029,0.001029552,0.000849488,-5.82E-05,-0.005387157,0.073065201,1,3.654918982,0.004639551,0.010267186,0.72371134,0.615979381,22.67583829
"DownResample(Min($close/Ref($close,27) - 1, 240), 240, ""last"")",0.004877687,0.001035957,0.000841938,-8.18E-05,-0.005361772,0.072844913,1,3.639085761,0.004637209,0.010239459,0.720618557,0.616494845,22.57760586
"DownResample(Min($close/Ref($close,28) - 1, 240), 240, ""last"")",0.004873046,0.001043559,0.000824544,-7.87E-05,-0.005348921,0.072651903,1,3.626636466,0.004632568,0.010221967,0.721134021,0.615463918,22.50036798
"DownResample(Min($close/Ref($close,29) - 1, 240), 240, ""last"")",0.004883301,0.001015436,0.000828888,-9.98E-05,-0.005313812,0.07246403,1,3.61683035,0.004642823,0.010197112,0.718041237,0.615463918,22.4395289
"DownResample(Min($close/Ref($close,30) - 1, 240), 240, ""last"")",0.004908949,0.001027317,0.000771233,-8.30E-05,-0.005311675,0.072451275,1,3.612352568,0.004668471,0.010220624,0.722164948,0.614948454,22.41174786
