factor_name,Group1,Group2,Group3,Group4,Group5,ic_mean,ic_sign,icir,long-average,long-short,signic>0,signic>0.04,t
"DownResample(UpStd($close/Ref($close,26) - 1,240), 240, 'last')",-0.004680885,-0.000135326,0.001060315,0.001355473,0.004139668,-0.073348848,1,4.831126363,-0.004921363,-0.008820554,0.759278351,0.637113402,-29.97326089
"DownResample(UpStd($close/Ref($close,27) - 1,240), 240, 'last')",-0.004674845,-0.000128217,0.00105442,0.001371371,0.004105455,-0.072994476,1,4.808146362,-0.004915323,-0.0087803,0.759793814,0.635051546,-29.83068842
"DownResample(UpStd($close/Ref($close,28) - 1,240), 240, 'last')",-0.004661631,-0.000108304,0.001046159,0.001365601,0.004058936,-0.07261928,1,4.784601767,-0.004902109,-0.008720568,0.758247423,0.634020619,-29.68461312
"DownResample(UpStd($close/Ref($close,29) - 1,240), 240, 'last')",-0.0046461,-0.000125413,0.001054209,0.001368045,0.004052971,-0.072331624,1,4.767881344,-0.004886578,-0.00869907,0.757216495,0.632989691,-29.58087631
"DownResample(UpStd($close/Ref($close,30) - 1,240), 240, 'last')",-0.004646228,-0.000110156,0.00105505,0.001369522,0.004033487,-0.072012284,1,4.748389565,-0.004886706,-0.008679715,0.756701031,0.631443299,-29.45994547
"DownResample(DownStd($close/Ref($close,1) - 1,240), 240, 'last')",-0.004830957,-8.93E-06,0.000815908,0.000938992,0.000313349,-0.066509962,1,3.828533934,-0.005071435,-0.005144306,0.713402062,0.591237113,-23.7529797
"DownResample(DownStd($close/Ref($close,2) - 1,240), 240, 'last')",-0.005301251,2.15E-05,0.000946703,0.001097674,0.000467805,-0.073392304,1,4.086630299,-0.005541729,-0.005769057,0.723195876,0.61443299,-25.35426046
"DownResample(DownStd($close/Ref($close,3) - 1,240), 240, 'last')",-0.005331017,1.46E-06,0.000919752,0.001173675,0.00045521,-0.074443156,1,4.099274785,-0.005571495,-0.005786227,0.723195876,0.613402062,-25.43270934
"DownResample(DownStd($close/Ref($close,4) - 1,240), 240, 'last')",-0.005339865,2.95E-05,0.000891425,0.001176008,0.000458846,-0.074584688,1,4.0868404,-0.005580343,-0.005798711,0.726804124,0.614948454,-25.35556396
"DownResample(DownStd($close/Ref($close,5) - 1,240), 240, 'last')",-0.005340099,3.54E-05,0.000877516,0.001169409,0.000458593,-0.074441051,1,4.071888086,-0.005580577,-0.005798692,0.727835052,0.615979381,-25.26279686
